# Gaussian distribution
# mean (nm) = 2.24
# sigma (nm) = 0.39
# columns: x_nm	pdf
0.680000	3.431544250382e-04
0.683120	3.543016130418e-04
0.686240	3.657875003379e-04
0.689360	3.776215730351e-04
0.692480	3.898135565226e-04
0.695600	4.023734206809e-04
0.698720	4.153113851825e-04
0.701840	4.286379248824e-04
0.704960	4.423637752981e-04
0.708080	4.564999381822e-04
0.711200	4.710576871858e-04
0.714320	4.860485736159e-04
0.717440	5.014844322855e-04
0.720560	5.173773874579e-04
0.723680	5.337398588865e-04
0.726800	5.505845679497e-04
0.729920	5.679245438819e-04
0.733040	5.857731301017e-04
0.736160	6.041439906373e-04
0.739280	6.230511166494e-04
0.742400	6.425088330535e-04
0.745520	6.625318052404e-04
0.748640	6.831350458965e-04
0.751760	7.043339219239e-04
0.754880	7.261441614610e-04
0.758000	7.485818610037e-04
0.761120	7.716634926275e-04
0.764240	7.954059113110e-04
0.767360	8.198263623618e-04
0.770480	8.449424889426e-04
0.773600	8.707723397017e-04
0.776720	8.973343765033e-04
0.779840	9.246474822621e-04
0.782960	9.527309688793e-04
0.786080	9.816045852816e-04
0.789200	1.011288525562e-03
0.792320	1.041803437224e-03
0.795440	1.073170429526e-03
0.798560	1.105411081933e-03
0.801680	1.138547452660e-03
0.804800	1.172602087333e-03
0.807920	1.207598027732e-03
0.811040	1.243558820650e-03
0.814160	1.280508526850e-03
0.817280	1.318471730113e-03
0.820400	1.357473546397e-03
0.823520	1.397539633087e-03
0.826640	1.438696198348e-03
0.829760	1.480970010572e-03
0.832880	1.524388407925e-03
0.836000	1.568979307984e-03
0.839120	1.614771217479e-03
0.842240	1.661793242117e-03
0.845360	1.710075096506e-03
0.848480	1.759647114173e-03
0.851600	1.810540257662e-03
0.854720	1.862786128730e-03
0.857840	1.916416978630e-03
0.860960	1.971465718477e-03
0.864080	2.027965929698e-03
0.867200	2.085951874569e-03
0.870320	2.145458506831e-03
0.873440	2.206521482387e-03
0.876560	2.269177170069e-03
0.879680	2.333462662498e-03
0.882800	2.399415786994e-03
0.885920	2.467075116578e-03
0.889040	2.536479981035e-03
0.892160	2.607670478038e-03
0.895280	2.680687484346e-03
0.898400	2.755572667061e-03
0.901520	2.832368494938e-03
0.904640	2.911118249761e-03
0.907760	2.991866037766e-03
0.910880	3.074656801114e-03
0.914000	3.159536329418e-03
0.917120	3.246551271306e-03
0.920240	3.335749146033e-03
0.923360	3.427178355123e-03
0.926480	3.520888194050e-03
0.929600	3.616928863952e-03
0.932720	3.715351483363e-03
0.935840	3.816208099976e-03
0.938960	3.919551702423e-03
0.942080	4.025436232069e-03
0.945200	4.133916594813e-03
0.948320	4.245048672908e-03
0.951440	4.358889336768e-03
0.954560	4.475496456780e-03
0.957680	4.594928915111e-03
0.960800	4.717246617498e-03
0.963920	4.842510505025e-03
0.967040	4.970782565875e-03
0.970160	5.102125847057e-03
0.973280	5.236604466100e-03
0.976400	5.374283622713e-03
0.979520	5.515229610391e-03
0.982640	5.659509827988e-03
0.985760	5.807192791222e-03
0.988880	5.958348144124e-03
0.992000	6.113046670423e-03
0.995120	6.271360304855e-03
0.998240	6.433362144394e-03
1.001360	6.599126459397e-03
1.004480	6.768728704658e-03
1.007600	6.942245530361e-03
1.010720	7.119754792932e-03
1.013840	7.301335565774e-03
1.016960	7.487068149884e-03
1.020080	7.677034084345e-03
1.023200	7.871316156679e-03
1.026320	8.069998413067e-03
1.029440	8.273166168413e-03
1.032560	8.480906016253e-03
1.035680	8.693305838498e-03
1.038800	8.910454815013e-03
1.041920	9.132443433001e-03
1.045040	9.359363496213e-03
1.048160	9.591308133953e-03
1.051280	9.828371809875e-03
1.054400	1.007065033058e-02
1.057520	1.031824085396e-02
1.060640	1.057124189737e-02
1.063760	1.082975334548e-02
1.066880	1.109387645794e-02
1.070000	1.136371387676e-02
1.073120	1.163936963346e-02
1.076240	1.192094915585e-02
1.079360	1.220855927464e-02
1.082480	1.250230822969e-02
1.085600	1.280230567593e-02
1.088720	1.310866268906e-02
1.091840	1.342149177083e-02
1.094960	1.374090685401e-02
1.098080	1.406702330707e-02
1.101200	1.439995793844e-02
1.104320	1.473982900041e-02
1.107440	1.508675619270e-02
1.110560	1.544086066563e-02
1.113680	1.580226502286e-02
1.116800	1.617109332376e-02
1.119920	1.654747108534e-02
1.123040	1.693152528379e-02
1.126160	1.732338435554e-02
1.129280	1.772317819791e-02
1.132400	1.813103816928e-02
1.135520	1.854709708877e-02
1.138640	1.897148923549e-02
1.141760	1.940435034729e-02
1.144880	1.984581761895e-02
1.148000	2.029602969995e-02
1.151120	2.075512669162e-02
1.154240	2.122325014387e-02
1.157360	2.170054305124e-02
1.160480	2.218714984852e-02
1.163600	2.268321640574e-02
1.166720	2.318889002257e-02
1.169840	2.370431942220e-02
1.172960	2.422965474452e-02
1.176080	2.476504753883e-02
1.179200	2.531065075577e-02
1.182320	2.586661873875e-02
1.185440	2.643310721466e-02
1.188560	2.701027328401e-02
1.191680	2.759827541028e-02
1.194800	2.819727340873e-02
1.197920	2.880742843448e-02
1.201040	2.942890296983e-02
1.204160	3.006186081100e-02
1.207280	3.070646705407e-02
1.210400	3.136288808020e-02
1.213520	3.203129154017e-02
1.216640	3.271184633815e-02
1.219760	3.340472261467e-02
1.222880	3.411009172892e-02
1.226000	3.482812624022e-02
1.229120	3.555899988872e-02
1.232240	3.630288757530e-02
1.235360	3.705996534071e-02
1.238480	3.783041034389e-02
1.241600	3.861440083943e-02
1.244720	3.941211615426e-02
1.247840	4.022373666351e-02
1.250960	4.104944376549e-02
1.254080	4.188941985588e-02
1.257200	4.274384830098e-02
1.260320	4.361291341021e-02
1.263440	4.449680040767e-02
1.266560	4.539569540281e-02
1.269680	4.630978536028e-02
1.272800	4.723925806888e-02
1.275920	4.818430210954e-02
1.279040	4.914510682254e-02
