# Gaussian distribution
# mean (nm) = 2.56
# sigma (nm) = 0.12
# columns: x_nm	pdf
2.080000	1.115251881374e-03
2.080960	1.151480242386e-03
2.081920	1.188809376098e-03
2.082880	1.227270112364e-03
2.083840	1.266894058698e-03
2.084800	1.307713617213e-03
2.085760	1.349762001843e-03
2.086720	1.393073255868e-03
2.087680	1.437682269719e-03
2.088640	1.483624799092e-03
2.089600	1.530937483354e-03
2.090560	1.579657864252e-03
2.091520	1.629824404928e-03
2.092480	1.681476509238e-03
2.093440	1.734654541381e-03
2.094400	1.789399845836e-03
2.095360	1.845754767616e-03
2.096320	1.903762672831e-03
2.097280	1.963467969571e-03
2.098240	2.024916129111e-03
2.099200	2.088153707424e-03
2.100160	2.153228367031e-03
2.101120	2.220188899163e-03
2.102080	2.289085246253e-03
2.103040	2.359968524748e-03
2.104000	2.432891048262e-03
2.104960	2.507906351039e-03
2.105920	2.585069211761e-03
2.106880	2.664435677676e-03
2.107840	2.746063089064e-03
2.108800	2.830010104030e-03
2.109760	2.916336723636e-03
2.110720	3.005104317352e-03
2.111680	3.096375648858e-03
2.112640	3.190214902165e-03
2.113600	3.286687708076e-03
2.114560	3.385861170977e-03
2.115520	3.487803895960e-03
2.116480	3.592586016281e-03
2.117440	3.700279221147e-03
2.118400	3.810956783832e-03
2.119360	3.924693590128e-03
2.120320	4.041566167114e-03
2.121280	4.161652712264e-03
2.122240	4.285033122869e-03
2.123200	4.411789025791e-03
2.124160	4.542003807534e-03
2.125120	4.675762644632e-03
2.126080	4.813152534360e-03
2.127040	4.954262325755e-03
2.128000	5.099182750948e-03
2.128960	5.248006456806e-03
2.129920	5.400828036879e-03
2.130880	5.557744063646e-03
2.131840	5.718853121063e-03
2.132800	5.884255837400e-03
2.133760	6.054054918372e-03
2.134720	6.228355180548e-03
2.135680	6.407263585049e-03
2.136640	6.590889271517e-03
2.137600	6.779343592348e-03
2.138560	6.972740147202e-03
2.139520	7.171194817756e-03
2.140480	7.374825802726e-03
2.141440	7.583753653117e-03
2.142400	7.798101307729e-03
2.143360	8.017994128880e-03
2.144320	8.243559938364e-03
2.145280	8.474929053623e-03
2.146240	8.712234324125e-03
2.147200	8.955611167948e-03
2.148160	9.205197608549e-03
2.149120	9.461134311724e-03
2.150080	9.723564622739e-03
2.151040	9.992634603621e-03
2.152000	1.026849307061e-02
2.152960	1.055129163175e-02
2.153920	1.084118472461e-02
2.154880	1.113832965415e-02
2.155840	1.144288663066e-02
2.156800	1.175501880784e-02
2.157760	1.207489232093e-02
2.158720	1.240267632492e-02
2.159680	1.273854303288e-02
2.160640	1.308266775422e-02
2.161600	1.343522893314e-02
2.162560	1.379640818695e-02
2.163520	1.416639034449e-02
2.164480	1.454536348453e-02
2.165440	1.493351897411e-02
2.166400	1.533105150687e-02
2.167360	1.573815914133e-02
2.168320	1.615504333909e-02
2.169280	1.658190900294e-02
2.170240	1.701896451483e-02
2.171200	1.746642177382e-02
2.172160	1.792449623377e-02
2.173120	1.839340694096e-02
2.174080	1.887337657147e-02
2.175040	1.936463146840e-02
2.176000	1.986740167887e-02
2.176960	2.038192099078e-02
2.177920	2.090842696928e-02
2.178880	2.144716099304e-02
2.179840	2.199836829014e-02
2.180800	2.256229797367e-02
2.181760	2.313920307703e-02
2.182720	2.372934058877e-02
2.183680	2.433297148712e-02
2.184640	2.495036077412e-02
2.185600	2.558177750921e-02
2.186560	2.622749484247e-02
2.187520	2.688779004734e-02
2.188480	2.756294455282e-02
2.189440	2.825324397512e-02
2.190400	2.895897814879e-02
2.191360	2.968044115725e-02
2.192320	3.041793136269e-02
2.193280	3.117175143535e-02
2.194240	3.194220838209e-02
2.195200	3.272961357437e-02
2.196160	3.353428277537e-02
2.197120	3.435653616645e-02
2.198080	3.519669837280e-02
2.199040	3.605509848829e-02
2.200000	3.693207009948e-02
2.200960	3.782795130875e-02
2.201920	3.874308475652e-02
2.202880	3.967781764259e-02
2.203840	4.063250174648e-02
2.204800	4.160749344677e-02
2.205760	4.260315373945e-02
2.206720	4.361984825519e-02
2.207680	4.465794727553e-02
2.208640	4.571782574799e-02
2.209600	4.679986329992e-02
2.210560	4.790444425132e-02
2.211520	4.903195762628e-02
2.212480	5.018279716331e-02
2.213440	5.135736132431e-02
2.214400	5.255605330222e-02
2.215360	5.377928102734e-02
2.216320	5.502745717230e-02
2.217280	5.630099915550e-02
2.218240	5.760032914322e-02
2.219200	5.892587405016e-02
2.220160	6.027806553850e-02
2.221120	6.165734001535e-02
2.222080	6.306413862870e-02
2.223040	6.449890726160e-02
2.224000	6.596209652483e-02
2.224960	6.745416174778e-02
2.225920	6.897556296757e-02
2.226880	7.052676491652e-02
2.227840	7.210823700769e-02
2.228800	7.372045331864e-02
2.229760	7.536389257335e-02
2.230720	7.703903812214e-02
2.231680	7.874637791971e-02
2.232640	8.048640450121e-02
2.233600	8.225961495626e-02
2.234560	8.406651090093e-02
2.235520	8.590759844766e-02
2.236480	8.778338817303e-02
2.237440	8.969439508340e-02
2.238400	9.164113857838e-02
2.239360	9.362414241205e-02
2.240320	9.564393465195e-02
2.241280	9.770104763576e-02
2.242240	9.979601792573e-02
2.243200	1.019293862606e-01
2.244160	1.041016975056e-01
2.245120	1.063135005990e-01
2.246080	1.085653484977e-01
2.247040	1.108577981190e-01
2.248000	1.131914102807e-01
2.248960	1.155667496383e-01
2.249920	1.179843846197e-01
2.250880	1.204448873573e-01
2.251840	1.229488336177e-01
2.252800	1.254968027281e-01
2.253760	1.280893775013e-01
2.254720	1.307271441564e-01
2.255680	1.334106922378e-01
2.256640	1.361406145316e-01
2.257600	1.389175069782e-01
2.258560	1.417419685832e-01
2.259520	1.446146013249e-01
2.260480	1.475360100591e-01
2.261440	1.505068024209e-01
2.262400	1.535275887239e-01
2.263360	1.565989818560e-01
2.264320	1.597215971733e-01
2.265280	1.628960523894e-01
2.266240	1.661229674638e-01
2.267200	1.694029644852e-01
2.268160	1.727366675537e-01
2.269120	1.761247026588e-01
2.270080	1.795676975545e-01
2.271040	1.830662816324e-01
2.272000	1.866210857904e-01
2.272960	1.902327422989e-01
2.273920	1.939018846646e-01
2.274880	1.976291474903e-01
2.275840	2.014151663320e-01
2.276800	2.052605775532e-01
2.277760	2.091660181756e-01
2.278720	2.131321257275e-01
2.279680	2.171595380882e-01
2.280640	2.212488933301e-01
2.281600	2.254008295573e-01
2.282560	2.296159847418e-01
2.283520	2.338949965553e-01
2.284480	2.382385021998e-01
2.285440	2.426471382334e-01
2.286400	2.471215403945e-01
2.287360	2.516623434220e-01
2.288320	2.562701808729e-01
2.289280	2.609456849373e-01
2.290240	2.656894862496e-01
2.291200	2.705022136975e-01
2.292160	2.753844942276e-01
2.293120	2.803369526486e-01
2.294080	2.853602114310e-01
2.295040	2.904548905044e-01
2.296000	2.956216070519e-01
2.296960	3.008609753018e-01
2.297920	3.061736063161e-01
2.298880	3.115601077767e-01
2.299840	3.170210837689e-01
2.300800	3.225571345621e-01
2.301760	3.281688563879e-01
2.302720	3.338568412154e-01
2.303680	3.396216765245e-01
2.304640	3.454639450764e-01
2.305600	3.513842246814e-01
2.306560	3.573830879649e-01
2.307520	3.634611021303e-01
2.308480	3.696188287204e-01
2.309440	3.758568233759e-01
2.310400	3.821756355921e-01
2.311360	3.885758084733e-01
2.312320	3.950578784852e-01
2.313280	4.016223752051e-01
2.314240	4.082698210705e-01
2.315200	4.150007311256e-01
2.316160	4.218156127658e-01
2.317120	4.287149654810e-01
2.318080	4.356992805964e-01
2.319040	4.427690410125e-01
2.320000	4.499247209432e-01
2.320960	4.571667856525e-01
2.321920	4.644956911896e-01
2.322880	4.719118841231e-01
2.323840	4.794158012735e-01
2.324800	4.870078694454e-01
2.325760	4.946885051577e-01
2.326720	5.024581143730e-01
2.327680	5.103170922273e-01
2.328640	5.182658227569e-01
2.329600	5.263046786267e-01
